people_id,name,birth_date
p_196816,Tea Falco,\N
p_196817,Jacopo Olmo Antinori,\N
p_70234,Sonia Bergamasco,1966-01-16
p_18339,Veronica Lazar,1938-10-16
p_238179,Tommaso Ragno,\N
p_31551,Zachary Scott,1914-02-21
p_119005,Bernie Hamilton,1928-06-12
p_172744,Key Meersman,\N
p_13787,Crahan Denton,\N
p_39008,Claudio Brook,1927-08-28
p_25834,Leslie Hope,1965-05-06
p_249731,Lovell Adams-Gray,\N
p_79503,Paulino Nunes,1968-04-27
p_249787,Madison Cheeatow,1993-11-09
p_86168,Setsuko Hara,1920-06-17
p_33135,Chishu Ryu,1904-05-13
p_202484,Kathy Monks,\N
p_202485,Warren Disbrow Sr.,\N
p_202486,Greg Scott,\N
p_202487,Stephen Mezo,\N
p_202488,Tim Ferrante,\N
p_202489,Al Vega,\N
p_202490,Ruben Santiago,\N
p_202491,Bob Gutosky,\N
p_55795,Pier Maria Rossi,\N
p_55796,Mita Ungaro,\N
p_55797,Carlos de Carvalho,\N
p_55798,Yatsugi Khelil,\N
p_39953,Jean Martin,1922-03-06
p_55799,Fausto Di Bella,\N
p_649,Vernon Dobtcheff,1934-08-14
p_55800,Antonella Fasano,\N
p_3774,Joshua Sinclair,1953-05-07
p_47820,Benoit Poelvoorde,1964-09-22
p_227415,Pili Groyne,2003-01-01
p_2415,Yolande Moreau,1953-02-27
p_50,Catherine Deneuve,1943-10-22
p_24041,François Damiens,1973-01-17
p_51485,Laura Verlinden,1984-04-15
p_80856,Serge Larivière,1957-12-12
p_99418,David Murgia,\N
p_170194,Didier De Neck,\N
p_254701,Romain Gelin,\N
p_180530,Marco Lorenzini,1950-11-17
p_278352,Serdar Orçin,\N
p_278353,Zeynep Tokus,\N
p_263788,Engin Günaydin,\N
p_278354,Demir Karahan,\N
p_227270,Hugo Piccinini,\N
p_227271,Stefanie Neukirch,\N
p_227272,Susana Groisman,\N
p_227273,Lucía Senra,\N
p_227274,Yonattan Montesdeoca,\N
p_227275,Estela Mieres,\N
p_19277,Todd Stashwick,1968-10-16
p_87755,Taylor Wily,1969-06-14
p_36216,Cynthia Watros,1968-09-02
p_166376,Julie McNiven,1980-10-11
p_82618,Michael McGrady,1960-03-30
p_161000,Brian Yang,\N
p_151316,Aleksandr Ivashkevich,\N
p_151317,Svetlana Chuikina,\N
p_151318,Aleksey Kravchenko,1969-10-10
p_112223,Viktor Verzhbitskiy,\N
p_151319,Valeriy Zolotukhin,\N
p_151320,Kirill Boltaev,\N
p_151321,Pavel Khrulev,\N
p_151322,Roman Kurtsyn,\N
p_151323,Konstantin Milovanov,\N
p_151324,Elena Plaksina,\N
p_70165,Gérard Lanvin,1950-06-21
p_49025,Samuel Le Bihan,1965-11-02
p_25347,Lorànt Deutsch,1975-10-25
p_47337,Gérard Darmon,1948-02-29
p_13689,Ticky Holgado,1944-06-24
p_2412,Isabelle Nanty,1962-01-21
p_86041,Stomy Bugsy,1972-05-21
p_64541,Wladimir Yordanoff,1954-03-28
p_16873,Serge Riaboukine,1957-12-29
p_19360,Léa Drucker,1972-01-23
p_112381,Axelle Laffont,1970-07-24
p_186615,Cathy Guetta,\N
p_186616,Mareva Galanter,\N
p_24396,Maaike Jansen,1941-12-05
p_74149,Souad Amidou,1959-07-04
p_20235,Firmine Richard,1947-09-25
p_186617,Catherine Astier,\N
p_34107,Vincent Lecoeur,\N
p_186618,Thierry René,\N
p_186619,Abel Jafri,1965-12-05
p_186620,Roland Courbis,\N
p_186621,Jay-Jay Okocha,\N
p_186622,Mauricio Pochettino,\N
p_19734,Lilian Thuram,\N
p_186623,Ronaldinho,\N
p_186624,Jean-Pierre Papin,\N
p_186625,Jean Roch,\N
p_47335,Ouassini Embarek,\N
p_186626,Antoine Blanquefort,\N
p_186627,Emeline Bayart,\N
