people_id,name,birth_date
p_4956,Bernardo Bertolucci,1941-03-16
p_793,Luis Buñuel,1900-02-22
p_249735,Felipe Rodriguez,\N
p_86167,Yasujirō Ozu,1903-12-12
p_202483,Warren F. Disbrow,\N
p_4410,Roberto Rossellini,1906-05-08
p_85236,Jaco Van Dormael,1957-02-09
p_234877,Zeki Demirkubuz,\N
p_7879,John Lasseter,1957-01-12
p_227269,Dimitry Rudakov,\N
p_72258,Steve Boyum,1952-09-04
p_151310,Dmitri Korobkin,\N
p_112429,Fabien Onteniente,1958-04-27
p_34613,Philippe de Broca,1933-03-15
p_19069,Claude Chabrol,1930-06-24
p_24882,Jacques Demy,1931-06-05
p_3776,Jean-Luc Godard,1930-12-03
p_24380,Edouard Molinaro,1928-05-13
p_53767,Roger Vadim,1928-01-26
p_261530,Daniele Misischia,\N
p_2291,Paul McGuigan,1963-09-19
p_42,Lars von Trier,1956-04-30
p_72913,Morten Arnfred,\N
p_35267,Boyd Kirkland,1950-11-11
p_2406,Mathieu Kassovitz,1967-08-03
p_35256,Damiano Damiani,1922-07-23
p_106991,Aktan Arym Kubat,\N
p_14396,James Burrows,1940-12-30
p_8023,Kyle Balda,1971-03-09
p_92546,Pierre Coffin,1967-03-16
p_64098,Sam Pillsbury,\N
p_120420,Arne Lindtner Næss,\N
p_142762,James Suttles,1980-09-21
p_24555,Kei Kumai,1929-06-01
p_15794,Mark Frost,1953-11-25
p_150991,Umberto Lenzi,1931-08-06
p_68315,Jean-Claude Lauzon,\N
p_29022,Otto Rippert,1869-10-22
p_141463,Fred L. Guiol,1898-02-17
p_9780,Angela Bassett,1958-08-16
p_230539,Hadi Moghadamdoost,\N
p_40230,Kevin Hooks,1958-09-19
p_100121,John Terlesky,1961-05-30
p_30461,John Scott,1966-10-11
p_53216,Dwayne Carey-Hill,\N
p_30942,William A. Levey,\N
p_234355,Walter Beck,1929-09-19
p_25161,Marcel Carné,1906-08-18
p_24280,Paolo Taviani,1931-11-08
p_24281,Vittorio Taviani,1929-09-20
p_225148,Parisa Bakhtavar,1972-02-02
p_2294,Robert Rodriguez,1968-06-20
p_2388,Jonathan Frakes,1952-08-19
p_138,Quentin Tarantino,1963-03-27
p_270436,Lovett Bickford,1942-04-08
p_100694,Markus Imhoof,1941-09-19
p_232454,Yilmaz Arslan,1968-04-20
p_52329,Ezio Greggio,\N
p_45030,Domenico Paolella,1915-10-15
p_97167,Kôji Wakamatsu,1936-04-01
p_62335,Seong-jung Kim,\N
p_116987,Hans Åke Gabrielsson,\N
p_55969,Zoltán Fábri,1917-10-15
p_51984,Mimi Leder,1952-01-26
p_1035,Paul Schrader,1946-07-22
p_47157,Geza von Cziffra,1900-12-13
p_32395,Debbie Allen,1950-01-16
p_96683,Douglas McKeown,\N
p_15858,Tim Hunter,1947-06-15
p_2352,Jean-Jacques Annaud,1943-10-01
p_78866,Shinji Higuchi,1965-09-22
p_68,Fritz Lang,1890-12-05
p_277592,Maximiliano Contenti,\N
p_41228,Peter Crane,1948-12-22
p_30089,Roger Corman,1926-04-05
p_118485,Claudio Giorgi,\N
p_94473,Joel J. Feigenbaum,\N
p_114622,René Laloux,1929-07-13
p_11343,David Yates,1963-11-30
p_104618,Sandeep Parikh,\N
p_16501,Milo Ventimiglia,1977-07-08
p_223601,Mark Gantt,1968-12-10
p_249008,Michael Kang,\N
p_19144,Shannen Doherty,1971-04-12
p_184890,Paul Lindsay,\N
p_49785,Andreas Kleinert,1962-01-01
p_167257,Philipp Döring,\N
p_204311,Dan Lerner,\N
p_29148,Arthur Maria Rabenalt,1905-06-25
p_33062,Curtis Bernhardt,1899-04-15
p_15043,Michael Lembeck,1948-06-25
p_214818,Thomas Kail,\N
p_279896,Alex Rudzinski,\N
p_87113,Mark Griffiths,\N
p_7270,Adrian Lyne,1941-03-04
p_86200,Hideo Gosha,\N
p_153175,Kôsuke Suzuki,\N
p_83151,Jean-François Richet,1966-07-02
p_36417,Pepe Danquart,1955-03-01
p_25513,Robert Young,1933-03-16
p_250750,Annabelle K. Frost,\N
p_68519,Andrei Zvyagintsev,1964-02-06
p_54794,Rudolf Thome,1939-11-14
p_50870,Alexander Kluge,1932-02-14
p_49010,Vivian Naefe,1953-03-21
p_86788,Holly Dale,1953-12-23
p_47853,Andreas Linke,\N
p_176646,Lee Seong-gang,\N
p_9083,Rochus Gliese,1891-01-06
