people_id,movie_id
p_4956,64331
p_793,57718
p_249735,115611
p_86167,17345
p_202483,65573
p_4410,8430
p_85236,91481
p_234877,181062
p_7879,9487
p_227269,82168
p_72258,72129
p_151310,48309
p_112429,62083
p_34613,68592
p_19069,68592
p_24882,68592
p_3776,68592
p_24380,68592
p_53767,68592
p_261530,146684
p_2291,186
p_42,33226
p_72913,33226
p_35267,157566
p_2406,3964
p_35256,39737
p_106991,32853
p_14396,37986
p_8023,66042
p_92546,66042
p_64098,19857
p_120420,38715
p_142762,174494
p_24555,12469
p_15794,486
p_150991,53235
p_68315,57781
p_29022,85137
p_141463,70143
p_9780,103597
p_230539,87026
p_40230,79000
p_100121,79000
p_30461,116188
p_53216,122654
p_30942,41855
p_234355,91850
p_25161,83483
p_24280,70287
p_24281,70287
p_225148,77768
p_2294,180187
p_2388,35002
p_138,118281
p_270436,24795
p_100694,28776
p_232454,89653
p_52329,10450
p_45030,39557
p_97167,43802
p_62335,10039
p_116987,186950
p_55969,146731
p_51984,34416
p_1035,2115
p_47157,50110
p_32395,86968
p_96683,26689
p_15858,136424
p_2352,10792
p_78866,150403
p_68,90458
p_277592,179286
p_41228,5094
p_30089,43348
p_118485,38177
p_94473,65366
p_114622,36910
p_11343,52371
p_104618,114642
p_16501,114642
p_223601,114642
p_249008,114642
p_19144,114642
p_184890,114642
p_49785,110092
p_167257,55983
p_204311,100669
p_29148,6645
p_33062,3578
p_15043,103947
p_214818,185344
p_279896,185344
p_87113,43924
p_7270,10998
p_86200,51320
p_153175,49181
p_83151,89468
p_36417,9577
p_25513,50568
p_250750,115241
p_68519,11190
p_54794,185107
p_50870,93111
p_49010,7009
p_86788,155752
p_47853,85005
p_176646,58770
p_9083,21483
p_83594,15700
p_153690,49457
p_115591,69578
p_37577,119432
p_58728,18559
p_245171,105828
p_21999,137986
p_74534,137986
p_72258,65498
p_70500,24041
p_4883,50313
p_237409,102288
p_111916,31425
p_153558,118569
p_99998,65587
p_16513,1366
p_97956,148695
p_49450,33742
p_89736,20011
p_159300,189577
p_8514,16133
p_90179,29569
p_15239,29569
p_86241,86214
p_1558,20145
p_21768,42025
p_19069,44156
p_181625,60594
p_1032,60594
p_32516,10444
p_157591,90467
p_133849,50705
p_86763,16308
p_56807,64150
p_222320,72456
p_31894,87999
p_236988,96209
p_14396,20874
p_227819,147521
p_148118,100094
p_18308,44667
p_120420,86049
p_18563,98628
p_237053,96524
p_267000,156166
p_29482,102262
p_39463,130204
p_19069,10930
p_163689,143889
p_41092,28338
p_149822,64617
p_67075,57429
p_20556,92358
p_258076,137643
p_37633,36011
p_164013,56953
p_165896,55402
p_2801,93160
p_2352,37566
p_189820,112629
p_130165,56908
p_10092,56699
p_70636,40852
p_10790,62524
p_92917,39648
p_28442,130123
p_84596,27345
p_12361,110408
p_172,21940
p_56075,66211
p_65062,44738
p_30956,34610
p_62880,63024
p_24530,9385
p_57542,9385
p_24531,9385
p_57543,9385
p_176052,153715
p_6817,66312
p_111735,35618
p_204743,95743
p_19866,139849
p_251034,116967
p_156889,50955
p_4956,66315
p_5014,72234
p_32765,72234
p_32327,72234
p_91780,103857
p_47320,187233
p_38072,63160
p_187656,66439
p_225026,77378
p_241586,104540
p_1650,176912
p_44955,54675
p_95909,72740
p_137381,181018
p_272013,170416
p_103449,120383
p_19460,18933
p_25645,121255
p_31890,3405
p_6912,72045
p_53859,60075
p_90975,76129
p_238103,98629
p_93136,90132
p_23116,14768
p_29148,38344
p_34264,87994
p_104549,89839
p_276958,178358
p_129318,75985
p_66642,150868
p_257365,150868
p_5066,88580
p_5067,88580
p_38516,63963
p_88216,167510
p_44644,112033
p_39557,6658
p_143568,159750
p_89618,19948
p_89619,19948
p_14396,959
p_5524,50373
p_102580,92032
p_30956,43851
p_44411,43851
p_246211,111885
p_94481,60753
p_38883,99828
p_94481,39463
p_21549,163548
p_37538,100430
p_226141,186409
p_226142,186409
p_49150,152574
p_61357,72212
p_136837,171942
p_16988,140812
p_17282,111201
p_25826,41425
p_11401,955
p_21504,88768
p_40506,71228
p_18899,11143
p_87830,61540
p_28976,74912
p_35968,109609
p_65961,28382
p_73282,15875
p_226779,92589
p_13776,2155
p_92866,68627
p_184694,61503
p_92732,23066
p_47092,19635
p_118300,38130
p_25645,95687
p_224464,75973
p_145896,111126
p_1650,12579
p_11572,69227
p_58498,9679
p_162147,68382
p_56033,8833
p_68086,9910
p_44644,5654
p_44645,5654
p_83399,133627
p_2443,17340
p_111733,113049
p_96124,95362
p_251853,117590
p_2801,59970
p_70905,14138
p_10790,62408
p_241785,104845
p_139516,54054
p_225584,109297
p_79897,46502
p_64171,94507
p_14409,7942
p_104332,90289
