people_id,movie_id
p_63820,10123
p_74752,33682
p_18598,150558
p_39243,153865
p_244942,117432
p_145753,46608
p_40,33764
p_232949,89925
p_244018,109163
p_107788,106382
p_28898,121065
p_1724,9717
p_37361,5953
p_50729,14588
p_108239,33617
p_91967,33617
p_76573,15533
p_14997,7470
p_55728,8703
p_70765,91132
p_91877,56692
p_11528,777
p_151011,48183
p_119889,94271
p_72197,100401
p_50542,171452
p_84688,177641
p_65314,10886
p_162031,67142
p_35137,62181
p_160102,109996
p_37860,40584
p_69174,81145
p_246483,112252
p_73639,12798
p_10316,62581
p_31890,72018
p_163900,71236
p_2710,31510
p_90558,119292
p_47059,189032
p_141813,45522
p_63973,8882
p_281655,187853
p_96107,26393
p_86632,110479
p_1650,4683
p_62020,12594
p_6400,33269
p_5572,415
p_1884,24523
p_85069,149215
p_119157,38404
p_115417,142922
p_27875,5899
p_309,4499
p_4385,938
p_39168,15945
p_52567,9581
p_58052,9581
p_64992,60181
p_102577,69716
p_12698,41814
p_239336,151260
p_84258,15881
p_29433,37345
p_89673,19994
p_21278,79861
p_121368,39095
p_92866,68582
p_179258,103041
p_54222,92786
p_10491,9075
p_226817,81229
p_246247,111925
p_155787,181422
p_93108,23232
p_118535,38187
p_17282,14154
p_122761,39843
p_253707,119986
p_223798,103670
p_250018,115844
p_239674,97882
p_109484,163348
p_73693,12806
p_49667,96454
p_114919,70697
p_242721,106750
p_32593,99108
p_92917,39648
p_24419,2381
p_34341,120646
p_84512,61229
p_19069,89368
p_41092,41229
p_25873,20253
p_229044,85044
p_12329,4789
p_95299,26058
p_39853,15741
p_116384,38727
p_70333,38727
p_64438,38727
p_72197,99094
p_40476,6443
p_6258,6372
p_33913,80183
p_227633,82751
p_164013,54602
p_99675,27862
p_201994,65461
p_88127,15402
p_72248,114896
p_103504,36204
p_227321,82197
p_2303,82197
p_226322,106983
p_207630,67806
p_91924,177626
p_34613,72559
p_4600,60756
p_18627,17351
p_2801,21931
p_56150,26288
p_241649,107881
p_86167,44761
p_1614,130300
p_58518,147807
p_32576,3523
p_24397,46624
p_247193,113525
p_207060,79246
p_89179,93759
p_56742,58606
p_164012,54604
p_116786,147455
p_3831,43060
p_72477,36555
p_71468,104742
p_88881,79270
p_116400,83049
p_173337,57895
p_20028,53526
p_20605,19949
p_16802,1244
p_70333,35644
p_266354,154624
p_6818,87019
p_171666,109229
p_104388,46202
p_176587,58904
p_112890,91597
p_92095,22021
p_32940,5602
p_162423,59741
p_5026,12516
p_18598,12516
p_64992,11554
p_149977,45431
p_131024,59739
p_16780,1294
p_111679,3564
p_9168,11615
p_236214,94401
p_6818,46908
p_28403,11714
p_64195,9730
p_237414,97518
p_51959,97518
p_1176,108405
p_309,4043
p_9789,85796
p_31804,3922
p_226141,113205
p_226142,113205
p_74409,35011
p_62410,35827
p_86176,17348
p_7832,105446
p_2461,615
p_26875,39581
p_30074,29272
p_84880,29757
p_71174,12130
p_192683,63444
p_192684,63444
p_132595,42935
p_42111,90296
p_113201,83844
p_14353,139253
p_22686,97250
p_2897,62424
p_49450,49065
p_70171,92047
p_37197,65743
p_100338,47231
p_83332,52397
p_72191,169606
p_37860,116691
p_263188,149802
p_229095,85093
p_40509,85093
p_27436,104594
p_230861,87329
p_108746,51356
p_44433,46381
p_73153,93176
p_164865,93595
p_106901,43843
p_22020,2152
p_86069,31083
p_276435,108843
p_242470,103180
p_194540,63934
p_116126,12814
p_104549,30907
p_38097,66470
p_126013,62538
p_155628,130028
p_234995,120888
p_118210,56052
p_187375,62402
p_5632,34183
p_11401,11909
p_9049,172392
p_64815,112485
p_8311,8079
p_38072,84729
p_228775,84729
p_19377,9840
p_78222,44832
p_103176,33747
p_16137,150034
p_5974,442
p_78690,55325
p_4453,108434
p_38048,6960
p_18209,86764
p_115867,152515
p_92732,99101
p_5029,138751
p_95162,186527
p_280451,186527
p_156889,50955
p_56377,11083
p_43513,10768
p_4617,410
p_2390,110776
p_9603,43830
p_3776,72111
p_2725,85282
p_67750,38347
p_3776,71934
p_112452,68589
p_279633,184984
p_116279,37437
p_4617,85776
p_10316,106687
p_158259,51831
p_6648,614
p_155563,179236
p_44562,19648
p_245484,179189
p_118720,106824
p_33721,50042
p_6295,66336
p_14400,1121
p_111511,72472
p_146201,46770
p_223,55
p_90184,100659
p_91185,61756
p_49855,177602
p_27436,4311
p_86078,15518
