movie_id,genre_id
1,g_11
1,g_18
1,g_28
1,g_34
1,g_37
1,g_85
1,g_130
1,g_218
1,g_329
1,g_354
1,g_541
1,g_644
1,g_707
1,g_1033
1,g_1037
1,g_1110
1,g_1119
1,g_1505
1,g_3167
1,g_10215
1,g_10216
1,g_10224
3,g_44
4,g_106
4,g_329
4,g_1110
5,g_18
5,g_49
5,g_124
5,g_303
5,g_1119
5,g_10216
5,g_10228
10,g_11
10,g_12
10,g_13
10,g_939
11,g_11
11,g_12
11,g_13
11,g_17
11,g_49
11,g_50
11,g_104
11,g_151
11,g_1108
11,g_1109
11,g_1110
11,g_3148
11,g_10214
11,g_10215
11,g_10281
18,g_11
18,g_104
18,g_303
18,g_878
18,g_1108
18,g_1109
18,g_10215
18,g_10216
18,g_10217
18,g_10228
18,g_10282
18,g_18385
20,g_19
20,g_71
20,g_219
20,g_303
20,g_865
20,g_10219
20,g_10221
20,g_10224
22,g_14
22,g_17
22,g_35
22,g_50
22,g_104
22,g_145
22,g_541
22,g_1108
22,g_3160
22,g_10214
22,g_10216
22,g_10217
22,g_18385
24,g_28
24,g_34
24,g_49
24,g_50
24,g_54
24,g_81
24,g_134
24,g_141
24,g_193
24,g_252
24,g_684
24,g_874
24,g_1123
24,g_10214
24,g_10215
24,g_10216
24,g_10224
24,g_10225
24,g_10228
24,g_14926
26,g_71
26,g_92
26,g_302
27,g_22
27,g_33
27,g_303
27,g_354
27,g_873
27,g_1195
27,g_3110
27,g_10220
27,g_10221
27,g_10228
28,g_32
28,g_49
28,g_50
28,g_92
28,g_138
28,g_209
28,g_1110
28,g_6033
28,g_10214
28,g_10221
28,g_10222
28,g_10223
28,g_10225
28,g_10227
28,g_10281
28,g_10282
30,g_34
30,g_878
31,g_28
31,g_34
31,g_35
36,g_16
36,g_49
36,g_104
36,g_114
36,g_864
36,g_865
36,g_1110
36,g_3167
36,g_10216
36,g_10217
36,g_10228
36,g_13544
55,g_44
55,g_54
55,g_130
55,g_303
55,g_684
55,g_1580
55,g_3164
55,g_10221
55,g_10225
55,g_10228
55,g_10282
60,g_16
60,g_196
60,g_1109
60,g_3167
60,g_7931
60,g_10216
60,g_13544
62,g_11
62,g_49
62,g_50
62,g_1282
62,g_2979
62,g_3148
62,g_6033
62,g_10215
62,g_10222
62,g_10223
62,g_10228
62,g_10281
63,g_43
63,g_51
63,g_52
63,g_53
63,g_54
63,g_141
63,g_2579
63,g_10215
63,g_10222
63,g_10223
63,g_10225
63,g_10228
63,g_10282
63,g_10464
64,g_73
64,g_209
64,g_219
64,g_301
64,g_303
64,g_329
64,g_865
64,g_3163
64,g_7142
64,g_10219
64,g_10221
64,g_10222
64,g_10281
67,g_54
67,g_92
67,g_302
67,g_303
67,g_1164
67,g_10224
67,g_10225
67,g_10227
78,g_28
78,g_43
78,g_49
78,g_218
78,g_329
78,g_541
78,g_644
78,g_807
78,g_1086
78,g_6033
78,g_10215
79,g_12
79,g_28
79,g_31
79,g_81
79,g_92
79,g_104
79,g_329
79,g_939
79,g_2926
79,g_10215
79,g_10222
79,g_10223
79,g_10228
79,g_10281
81,g_17
81,g_34
81,g_52
81,g_84
81,g_85
81,g_303
81,g_10221
81,g_10223
85,g_17
85,g_28
85,g_49
85,g_50
85,g_89
85,g_104
85,g_1108
85,g_1109
85,g_1110
85,g_1505
85,g_3160
85,g_10214
85,g_10215
85,g_10216
85,g_10217
85,g_10219
85,g_10281
86,g_33
86,g_44
86,g_71
86,g_122
86,g_6033
86,g_10216
86,g_10217
86,g_10220
86,g_10224
91,g_101
91,g_204
99,g_18
99,g_69
99,g_71
99,g_73
99,g_129
99,g_130
99,g_302
99,g_865
99,g_3163
99,g_7141
99,g_10221
99,g_10222
99,g_10228
99,g_10281
99,g_14354
99,g_15588
100,g_35
100,g_49
100,g_87
100,g_250
100,g_1125
100,g_10215
100,g_10216
100,g_10218
100,g_10228
101,g_18
101,g_28
101,g_49
101,g_50
101,g_53
101,g_134
101,g_249
101,g_251
101,g_541
101,g_864
101,g_1080
101,g_1109
101,g_1110
101,g_2738
102,g_19
102,g_20
102,g_54
102,g_71
102,g_87
102,g_219
102,g_303
102,g_353
102,g_707
104,g_19
104,g_54
104,g_71
104,g_329
104,g_354
104,g_684
104,g_1119
104,g_10214
104,g_10222
104,g_10228
106,g_28
106,g_31
106,g_49
106,g_104
106,g_159
106,g_245
106,g_864
106,g_874
106,g_878
106,g_1110
106,g_10214
106,g_10215
106,g_10225
106,g_10226
106,g_10282
108,g_18
108,g_54
108,g_71
108,g_302
108,g_3163
108,g_10221
108,g_10222
108,g_10227
109,g_56
110,g_18
110,g_54
110,g_302
110,g_303
110,g_3163
110,g_10221
110,g_10222
110,g_10282
112,g_20
112,g_54
112,g_71
112,g_114
112,g_122
112,g_126
112,g_130
112,g_302
112,g_303
112,g_707
113,g_19
113,g_54
113,g_69
113,g_87
113,g_353
113,g_1167
124,g_92
125,g_202
125,g_1122
126,g_92
127,g_54
128,g_14
128,g_17
128,g_34
128,g_10215
128,g_10221
129,g_13
129,g_17
129,g_34
129,g_10215
129,g_10218
129,g_10221
129,g_10228
129,g_10281
129,g_17580
130,g_34
130,g_10214
130,g_10215
130,g_10223
135,g_99
135,g_210
135,g_14453
136,g_49
136,g_54
136,g_158
136,g_301
136,g_818
136,g_1110
136,g_3165
136,g_10215
136,g_10221
136,g_10222
136,g_10224
136,g_10225
136,g_10228
136,g_14726
139,g_20
139,g_71
139,g_122
140,g_44
140,g_53
140,g_71
140,g_219
140,g_302
140,g_353
140,g_3163
140,g_10216
140,g_10220
140,g_10225
140,g_10227
140,g_10228
144,g_13
144,g_33
144,g_301
144,g_302
144,g_353
144,g_354
144,g_1178
144,g_10219
144,g_10221
144,g_10223
146,g_12
146,g_14
146,g_28
146,g_33
146,g_81
146,g_2926
146,g_10214
146,g_10219
146,g_10221
146,g_10228
146,g_10281
146,g_10282
147,g_44
147,g_71
147,g_130
147,g_134
147,g_227
147,g_301
147,g_3164
147,g_10221
147,g_10223
147,g_10225
148,g_71
148,g_219
148,g_303
149,g_34
149,g_49
149,g_52
149,g_82
149,g_85
149,g_154
149,g_158
149,g_218
149,g_878
149,g_1049
149,g_2979
149,g_10214
149,g_10215
149,g_10225
149,g_10226
149,g_10227
152,g_11
152,g_50
152,g_104
152,g_864
152,g_1080
152,g_1108
152,g_1109
152,g_1163
152,g_1167
152,g_2979
152,g_10214
152,g_10215
152,g_10282
154,g_11
154,g_43
154,g_50
154,g_1080
154,g_1108
154,g_1109
154,g_1163
154,g_1167
154,g_2979
154,g_10214
154,g_10215
154,g_10223
155,g_50
155,g_53
155,g_85
155,g_104
155,g_878
155,g_1109
155,g_2891
155,g_10214
155,g_10215
156,g_25
156,g_56
156,g_71
156,g_114
156,g_122
156,g_219
156,g_10216
156,g_10221
156,g_10223
157,g_11
157,g_50
157,g_1109
157,g_1163
157,g_1167
157,g_2979
157,g_3160
157,g_10215
157,g_10221
159,g_19
159,g_56
159,g_73
159,g_85
159,g_104
159,g_114
159,g_124
159,g_129
159,g_1108
159,g_1109
159,g_10216
159,g_10217
160,g_17
160,g_206
160,g_301
160,g_303
160,g_1110
160,g_1116
160,g_3148
163,g_35
163,g_50
163,g_104
163,g_250
163,g_1125
163,g_3160
163,g_10216
163,g_10217
163,g_10218
165,g_12
165,g_17
165,g_35
165,g_50
165,g_51
165,g_104
165,g_245
165,g_684
165,g_878
165,g_1108
165,g_1109
165,g_1505
165,g_3160
165,g_10214
165,g_10215
165,g_10216
165,g_10217
165,g_10282
166,g_49
166,g_69
166,g_126
166,g_866
166,g_10219
166,g_10221
168,g_11
168,g_49
168,g_50
168,g_51
168,g_104
168,g_124
168,g_878
168,g_1109
168,g_2979
168,g_3160
168,g_10214
168,g_10216
168,g_10218
168,g_10282
172,g_11
172,g_50
172,g_329
172,g_864
172,g_1109
172,g_2896
172,g_2979
172,g_10214
172,g_10218
173,g_17
173,g_28
173,g_50
173,g_84
173,g_89
173,g_818
173,g_878
173,g_1110
173,g_10215
173,g_10216
174,g_11
174,g_50
174,g_76
174,g_104
174,g_106
174,g_864
174,g_1109
174,g_1167
174,g_2979
174,g_3160
174,g_4866
174,g_10214
174,g_10215
174,g_10282
175,g_12
175,g_33
175,g_210
175,g_219
175,g_10215
175,g_10221
175,g_10228
186,g_35
186,g_50
186,g_53
186,g_80
186,g_1109
186,g_2738
186,g_10067
186,g_10215
186,g_10216
186,g_10217
186,g_10228
187,g_18
187,g_50
187,g_53
187,g_80
187,g_85
187,g_301
187,g_541
187,g_864
187,g_867
187,g_871
187,g_873
187,g_874
187,g_1086
187,g_1119
187,g_8530
187,g_10225
187,g_10228
189,g_28
189,g_53
189,g_85
189,g_1119
191,g_71
191,g_92
191,g_303
191,g_1096
191,g_1167
192,g_18
192,g_36
192,g_79
192,g_144
192,g_818
192,g_939
192,g_1110
192,g_6033
192,g_10214
192,g_10215
192,g_10222
192,g_10223
193,g_11
193,g_50
193,g_51
193,g_104
193,g_1109
193,g_1167
193,g_2979
193,g_3160
193,g_10214
193,g_10215
194,g_49
194,g_104
194,g_126
194,g_302
194,g_353
194,g_354
194,g_865
194,g_1040
194,g_1051
194,g_1058
194,g_1176
194,g_10217
194,g_10218
194,g_10219
194,g_10228
194,g_10282
199,g_11
199,g_50
199,g_51
199,g_52
199,g_104
199,g_878
199,g_1108
199,g_1109
199,g_1167
199,g_2979
199,g_3160
199,g_10213
199,g_10214
199,g_10215
199,g_10216
199,g_10223
199,g_10282
