people_id,name,birth_date
p_247352,Darine Hamze,\N
p_276118,Rodney El Haddad,\N
p_48576,Charles Berling,1958-04-30
p_270229,Karl Sarafidis,\N
p_67345,Fadi Abi Samra,\N
p_33359,Buster Crabbe,1908-02-07
p_33360,Jean Rogers,1916-03-25
p_30017,Charles Middleton,1874-10-07
p_33362,Frank Shannon,\N
p_11153,James Denton,\N
p_165600,Natalie Brown,1973-05-17
p_256910,Rebecca Liddiard,\N
p_248511,Kate Corbett,\N
p_44248,Ron Lea,\N
p_168676,Aris Servetalis,\N
p_238714,Angeliki Papoulia,\N
p_113261,Ariane Labed,1984-05-08
p_157937,Efthymis Filippou,\N
p_168677,Johnny Vekris,\N
p_73357,Eleanor Tomlinson,1992-05-19
p_84234,Finn Atkins,1989-06-21
p_99033,Christopher Elson,1985-11-09
p_26657,David Bamber,1954-09-19
p_99034,David Fellowes,\N
p_99035,Marketa Froesslova,\N
p_31722,Murray Melvin,1932-08-10
p_99036,Kevin Colson,\N
p_99037,Helen Mutch,\N
p_216913,Monty Ray Garrison,\N
p_216914,Cecilia Buonocore,\N
p_52064,Auretta Gay,\N
p_216915,Mauro Frittella,\N
p_216916,Domenico Bua,\N
p_55658,Fiamma Maglione,\N
p_216917,Edmondo Tieghi,\N
p_216918,Sergio Borelli,\N
p_216919,Christine Kenneally,\N
p_216920,Letizia D'Adderio,\N
p_1037,Harvey Keitel,1939-05-13
p_1164,F. Murray Abraham,1939-10-24
p_21817,Jane March,1973-03-20
p_31384,Jordi Mollà,1968-07-01
p_39619,Federica Martinelli,\N
p_120477,Lucilla Agosti,\N
p_27201,Paco Reconti,1961-04-21
p_27401,Bruno Bilotta,\N
p_45580,Massimo Vanni,1946-07-08
p_19587,Rumi Hîragi,\N
p_19588,Miyu Irino,\N
p_19589,Mari Natsuki,\N
p_19590,Takashi Naitô,\N
p_19591,Yasuko Sawaguchi,\N
p_19592,Tatsuya Gashuin,\N
p_19593,Ryunosuke Kamiki,1993-05-19
p_19594,Yumi Tamai,\N
p_5472,Colin Firth,1960-09-10
p_5081,Emily Blunt,1983-02-23
p_234937,Lucas Hedges,1996-12-12
p_8256,Anne Heche,1969-05-25
p_588,M. Emmet Walsh,1935-03-22
p_100551,Kristin Lehman,1972-05-03
p_141174,Phillip Troy Linger,\N
p_157837,Devon Woods,\N
p_90929,Sterling Beaumon,\N
p_198172,Autumn Dial,\N
p_230061,Anthony Reynolds,\N
p_194795,Ron Prather,\N
p_229493,Jack Landry,\N
p_215639,Sol Miranda,\N
p_231137,Steve Coulter,1960-01-01
p_12876,Peter Jurasik,1950-04-25
p_189003,Gray Hawks,\N
p_199953,David Andrews,1952-11-02
p_75823,Bonnie Johnson,\N
p_123400,James Patrick Freetly,\N
p_176515,L. Warren Young,\N
p_231284,Sharon Conley,\N
p_75825,Michael Beasley,\N
p_158340,Tammy Arnold,\N
p_87753,Dean Chekvala,\N
p_160655,Nicole LaLiberte,\N
p_58710,Amy Steel,1960-05-03
p_55571,John Furey,1951-04-13
p_37470,Adrienne King,\N
p_58711,Kirsten Baker,\N
p_55931,Stuart Charno,\N
p_239671,Steve Daskawisz,\N
p_239672,Warrington Gillette,\N
p_125217,Walt Gorney,\N
p_148681,Marta Kober,\N
p_239673,Tom McBride,\N
p_102114,Lauren-Marie Taylor,1961-11-01
p_88377,Russell Todd,\N
p_37469,Betsy Palmer,1926-11-01
p_93843,Alexandra Pic,\N
p_93844,Isabelle Teboul,\N
p_93845,Bernard Charnacé,\N
p_93846,Nathalie Perrey,\N
p_107443,Anissa Berkani-Rohmer,\N
p_78689,Tina Aumont,1946-02-14
p_107444,Véronique Djaouti,\N
p_112215,Sergey Makovetskiy,\N
p_252636,Dinara Drukarova,\N
p_213578,Anzhelika Nevolina,\N
p_102827,Viktor Sukhorukov,1951-11-10
p_270394,Alyosha Dyo,\N
p_19363,Dominique Reymond,1957-02-12
p_6018,Daniel Duval,1944-11-28
p_89850,Jessica Martinez,\N
p_89851,Alexandre Roger,\N
p_89852,Xavier Colonna,\N
p_15140,Terence Hill,1939-03-29
p_18841,Bud Spencer,1929-10-31
p_57155,Boots Southerland,\N
p_22556,Ruth Buzzi,1936-07-24
p_182092,Neil Summers,1944-04-28
p_46947,Michael Huddleston,\N
p_36705,Anne Kasprik,1963-06-11
p_98902,Eva Hassmann,1972-12-29
p_72680,Ron Carey,1935-12-11
p_68446,Fritz Sperberg,\N
p_17243,Jonathan Tucker,1982-05-31
p_233100,Lauren Myers,\N
p_116247,J.D. Garfield,\N
p_68447,Bo Greigh,\N
p_137298,Jack Caffrey,\N
p_77016,Adam Taylor,\N
p_57165,Jess Hill,\N
p_54941,Harriet Medin,\N
p_222897,Aviva Baumann,1984-07-10
p_6384,Keanu Reeves,1964-09-02
p_530,Carrie-Anne Moss,1967-08-21
p_9575,Jada Pinkett Smith,1971-09-18
p_2192,Lambert Wilson,1958-08-03
p_124322,Jonathan Groff,1985-03-26
p_236176,Jessica Henwick,1992-08-30
p_249583,Yahya Abdul-Mateen II,1986-07-15
