user_id,rate,movie_id
u_91,4.5,1
u_167,5.0,1
u_184,4.0,1
u_187,3.5,1
u_219,3.5,1
u_232,2.5,1
u_260,3.5,1
u_298,4.5,1
u_320,3.5,1
u_371,4.5,1
u_387,3.5,1
u_414,4.0,1
u_428,3.5,1
u_438,4.5,1
u_477,4.5,1
u_483,4.5,1
u_522,4.0,1
u_580,2.0,1
u_599,4.0,1
u_610,4.5,1
u_1,5.0,10
u_1,4.0,10
u_4,5.0,10
u_4,1.0,10
u_7,5.0,10
u_7,4.0,10
u_7,1.5,10
u_11,4.0,10
u_15,5.0,10
u_16,3.0,10
u_17,5.0,10
u_18,4.0,10
u_18,4.5,10
u_19,4.0,10
u_19,3.0,10
u_21,4.5,10
u_21,4.0,10
u_21,1.0,10
u_25,5.0,10
u_27,4.0,10
u_27,5.0,10
u_28,4.0,10
u_30,5.0,10
u_31,4.0,10
u_32,5.0,10
u_32,4.0,10
u_33,5.0,10
u_34,3.5,10
u_39,5.0,10
u_42,5.0,10
u_42,3.0,10
u_44,5.0,10
u_45,5.0,10
u_45,4.0,10
u_51,5.0,10
u_52,4.0,10
u_52,5.0,10
u_57,5.0,10
u_57,4.0,10
u_57,3.0,10
u_59,4.0,10
u_59,3.0,10
u_62,4.5,10
u_63,5.0,10
u_63,4.5,10
u_64,3.5,10
u_66,2.5,10
u_66,4.0,10
u_66,3.0,10
u_68,5.0,10
u_68,3.0,10
u_69,5.0,10
u_69,4.0,10
u_70,5.0,10
u_71,3.0,10
u_72,5.0,10
u_72,4.5,10
u_73,2.0,10
u_75,5.0,10
u_75,4.5,10
u_75,1.0,10
u_76,4.0,10
u_76,2.0,10
u_77,5.0,10
u_78,3.5,10
u_79,5.0,10
u_82,3.5,10
u_82,4.0,10
u_84,4.0,10
u_86,4.5,10
u_86,4.0,10
u_86,3.5,10
u_90,5.0,10
u_91,4.5,10
u_91,4.0,10
u_93,5.0,10
u_95,5.0,10
u_95,4.5,10
u_96,5.0,10
u_96,2.0,10
u_97,5.0,10
u_101,4.0,10
u_103,4.0,10
u_103,4.5,10
u_103,3.5,10
u_104,3.0,10
u_105,4.0,10
u_112,5.0,10
u_113,4.0,10
u_114,3.5,10
u_115,5.0,10
u_118,4.0,10
u_120,5.0,10
u_122,5.0,10
u_123,4.5,10
u_123,4.0,10
u_124,4.0,10
u_124,4.5,10
u_125,4.0,10
u_128,5.0,10
u_128,4.0,10
u_129,4.0,10
u_129,3.5,10
u_131,2.5,10
u_132,2.0,10
u_135,4.0,10
u_135,2.0,10
u_137,4.0,10
u_137,3.0,10
u_139,4.0,10
u_140,4.0,10
u_140,3.0,10
u_140,3.5,10
u_141,4.0,10
u_141,3.0,10
u_141,4.5,10
u_149,4.0,10
u_149,2.0,10
u_152,3.0,10
u_153,0.5,10
u_155,4.0,10
u_155,5.0,10
u_156,1.0,10
u_160,5.0,10
u_160,4.0,10
u_160,2.0,10
u_164,4.0,10
u_165,4.0,10
u_165,3.0,10
u_166,4.5,10
u_166,5.0,10
u_166,3.5,10
u_167,4.0,10
u_167,4.5,10
u_169,4.0,10
u_171,4.0,10
u_171,5.0,10
u_172,4.5,10
u_177,2.5,10
u_177,3.0,10
u_177,2.0,10
u_180,4.5,10
u_180,4.0,10
u_182,3.5,10
u_182,3.0,10
u_182,2.5,10
u_182,1.5,10
u_183,4.0,10
u_186,4.0,10
u_186,5.0,10
u_187,4.0,10
u_187,1.5,10
u_193,5.0,10
u_193,4.5,10
u_195,4.0,10
u_197,5.0,10
u_198,5.0,10
u_198,2.0,10
u_199,4.0,10
u_199,3.5,10
u_199,2.0,10
u_200,5.0,10
u_200,3.0,10
u_201,5.0,10
u_201,3.0,10
u_202,4.0,10
u_202,5.0,10
u_202,3.0,10
u_205,4.5,10
u_208,4.0,10
u_209,2.0,10
u_210,5.0,10
u_211,4.5,10
u_211,4.0,10
u_212,2.5,10
u_212,3.5,10
u_215,4.5,10
u_217,5.0,10
u_217,4.0,10
u_219,5.0,10
u_219,4.5,10
u_219,4.0,10
u_219,1.0,10
u_220,5.0,10
u_220,4.5,10
u_220,3.5,10
u_220,3.0,10
u_223,3.5,10
u_223,3.0,10
u_224,2.0,10
u_225,4.0,10
u_225,3.0,10
u_226,4.5,10
u_226,5.0,10
u_226,2.5,10
u_227,3.5,10
u_227,4.0,10
u_228,4.5,10
u_228,4.0,10
u_231,4.0,10
u_231,3.5,10
u_232,4.5,10
u_232,5.0,10
u_232,4.0,10
u_234,5.0,10
u_234,3.0,10
u_237,2.5,10
u_239,5.0,10
u_239,3.5,10
u_244,4.0,10
u_246,5.0,10
u_247,4.0,10
u_247,4.5,10
u_247,3.5,10
u_248,3.5,10
u_249,5.0,10
u_249,4.5,10
u_249,3.5,10
u_254,4.0,10
u_255,5.0,10
u_256,4.0,10
u_261,4.5,10
u_262,4.0,10
u_263,4.0,10
u_263,3.0,10
u_264,3.5,10
u_265,5.0,10
u_265,4.0,10
u_266,4.0,10
u_266,5.0,10
u_266,3.0,10
u_267,5.0,10
u_268,4.0,10
u_268,5.0,10
u_268,1.0,10
u_268,2.0,10
u_274,3.0,10
u_274,4.5,10
u_274,4.0,10
u_274,2.5,10
u_275,4.0,10
u_276,5.0,10
u_277,4.0,10
u_279,5.0,10
u_279,4.5,10
u_282,4.0,10
u_283,4.0,10
u_288,5.0,10
u_288,4.5,10
u_288,4.0,10
u_290,5.0,10
u_292,4.0,10
u_294,5.0,10
u_294,4.0,10
u_296,1.0,10
u_298,4.0,10
u_298,4.5,10
u_298,3.0,10
u_298,2.5,10
u_299,2.0,10
u_302,5.0,10
u_303,3.5,10
u_303,5.0,10
u_304,5.0,10
u_305,5.0,10
u_305,2.0,10
u_307,3.5,10
u_307,3.0,10
u_307,4.0,10
u_308,2.5,10
u_312,5.0,10
u_312,3.0,10
u_313,3.0,10
u_313,4.0,10
u_313,2.0,10
u_314,5.0,10
u_317,4.0,10
u_318,3.0,10
u_318,4.0,10
u_323,4.5,10
u_325,4.0,10
u_325,2.0,10
u_328,5.0,10
u_328,4.0,10
u_330,4.0,10
u_330,5.0,10
u_330,3.0,10
u_332,4.5,10
u_332,3.5,10
u_334,4.0,10
u_334,3.5,10
u_334,3.0,10
u_335,5.0,10
u_337,5.0,10
u_343,3.0,10
u_344,5.0,10
u_348,4.5,10
u_348,5.0,10
u_350,4.0,10
u_352,4.0,10
u_352,3.5,10
u_354,4.0,10
u_354,3.5,10
u_355,5.0,10
u_357,4.0,10
u_357,4.5,10
u_357,3.0,10
u_361,2.0,10
u_362,4.5,10
u_362,4.0,10
u_363,2.0,10
u_363,1.5,10
u_364,4.0,10
u_364,3.0,10
u_365,3.0,10
u_365,4.0,10
u_367,5.0,10
u_367,4.0,10
u_368,4.0,10
u_368,3.0,10
u_369,3.5,10
u_369,4.0,10
u_369,2.5,10
u_370,2.0,10
u_370,2.5,10
u_370,1.5,10
u_372,4.0,10
u_372,5.0,10
u_375,5.0,10
u_375,1.5,10
u_376,4.0,10
u_376,4.5,10
u_380,5.0,10
u_380,4.0,10
u_380,2.5,10
u_381,3.5,10
u_382,5.0,10
u_382,4.5,10
u_382,3.5,10
u_383,3.0,10
u_385,4.0,10
u_385,5.0,10
u_387,4.5,10
u_387,4.0,10
u_389,5.0,10
u_391,5.0,10
u_391,4.0,10
u_391,1.0,10
u_392,2.0,10
u_399,5.0,10
u_400,5.0,10
u_407,4.0,10
u_408,4.0,10
u_409,4.0,10
u_410,3.0,10
u_412,4.0,10
u_414,5.0,10
u_414,4.0,10
u_414,2.0,10
u_415,4.0,10
u_416,3.0,10
u_416,2.0,10
u_422,5.0,10
u_422,4.0,10
u_425,3.0,10
u_428,3.5,10
u_430,4.0,10
u_432,3.5,10
u_432,4.0,10
u_434,5.0,10
u_434,4.5,10
u_434,0.5,10
u_437,5.0,10
u_438,5.0,10
u_438,3.0,10
u_441,5.0,10
u_441,4.0,10
u_441,4.5,10
u_443,4.0,10
u_445,5.0,10
u_448,5.0,10
u_448,2.0,10
u_450,5.0,10
u_452,5.0,10
u_452,4.0,10
u_453,4.0,10
u_453,3.0,10
u_453,5.0,10
u_456,5.0,10
u_457,5.0,10
u_457,3.0,10
u_459,4.0,10
u_461,0.5,10
u_462,4.0,10
u_462,2.5,10
u_462,1.0,10
u_462,0.5,10
u_464,5.0,10
u_465,3.0,10
u_465,4.0,10
u_465,2.0,10
u_466,1.5,10
u_466,2.5,10
u_469,4.0,10
u_469,5.0,10
u_469,3.0,10
u_474,4.0,10
u_474,5.0,10
u_475,5.0,10
u_477,4.5,10
u_477,5.0,10
u_477,4.0,10
u_479,4.0,10
u_479,3.0,10
u_480,4.5,10
u_480,5.0,10
u_480,3.5,10
u_480,2.0,10
u_483,4.5,10
u_483,3.0,10
u_487,4.0,10
u_489,1.0,10
u_489,1.5,10
u_492,4.0,10
u_493,5.0,10
u_494,5.0,10
u_494,4.0,10
u_497,2.0,10
u_500,4.0,10
u_509,4.0,10
u_510,3.5,10
u_511,4.0,10
u_513,5.0,10
u_513,4.0,10
u_514,5.0,10
u_514,4.0,10
u_515,5.0,10
u_516,5.0,10
u_517,3.5,10
u_517,2.0,10
u_520,1.5,10
u_522,5.0,10
u_522,4.5,10
u_522,4.0,10
u_522,3.0,10
u_524,5.0,10
u_524,3.0,10
u_525,4.0,10
u_525,4.5,10
u_525,3.0,10
u_527,5.0,10
u_529,5.0,10
u_531,5.0,10
u_534,4.5,10
u_534,3.5,10
u_534,4.0,10
u_540,5.0,10
u_540,4.5,10
u_548,3.5,10
u_549,2.0,10
u_551,3.5,10
u_552,5.0,10
u_552,3.5,10
u_554,5.0,10
u_555,5.0,10
u_557,3.0,10
u_557,2.0,10
u_559,5.0,10
u_559,4.0,10
u_560,4.0,10
u_561,4.5,10
u_561,5.0,10
u_561,2.0,10
u_562,3.0,10
u_567,2.0,10
u_567,1.5,10
u_567,0.5,10
u_570,3.5,10
u_570,4.0,10
u_571,3.0,10
u_572,5.0,10
u_573,5.0,10
u_573,3.5,10
u_577,5.0,10
u_577,3.0,10
u_577,4.0,10
u_580,4.0,10
u_582,4.0,10
u_586,4.5,10
u_590,5.0,10
u_590,4.5,10
u_590,2.5,10
u_591,5.0,10
u_593,5.0,10
u_593,4.5,10
u_593,2.5,10
u_594,4.0,10
u_595,4.0,10
u_596,4.0,10
u_596,3.5,10
u_597,5.0,10
u_597,3.0,10
u_599,5.0,10
u_599,3.0,10
u_600,4.0,10
u_600,4.5,10
u_600,1.0,10
u_602,5.0,10
u_603,4.0,10
u_603,3.0,10
u_603,1.0,10
u_605,5.0,10
u_606,4.5,10
u_606,3.5,10
u_607,3.0,10
u_608,3.5,10
u_608,4.0,10
u_610,5.0,10
u_610,3.0,10
u_7,0.5,10
u_9,3.0,10
u_20,4.0,10
u_34,4.0,10
u_51,1.5,10
u_63,2.5,10
u_95,4.0,10
u_97,4.0,10
u_103,3.0,10
u_108,3.0,10
u_166,3.0,10
u_169,4.5,10
u_187,2.0,10
u_190,3.0,10
u_198,3.0,10
u_199,1.5,10
u_219,2.0,10
u_220,4.0,10
u_226,3.5,10
u_247,2.0,10
u_279,1.0,10
u_287,1.0,10
u_288,3.5,10
u_292,3.0,10
u_305,3.0,10
u_312,4.0,10
u_332,2.0,10
u_354,3.0,10
u_365,2.5,10
u_370,1.0,10
u_380,3.0,10
u_382,4.0,10
u_427,3.5,10
u_434,1.0,10
u_438,3.5,10
u_448,3.0,10
u_463,4.0,10
u_474,3.0,10
u_479,1.0,10
u_480,3.0,10
u_482,4.5,10
u_489,0.5,10
u_520,2.0,10
u_525,2.5,10
u_540,4.0,10
u_552,4.0,10
u_561,2.5,10
u_573,3.0,10
u_590,3.0,10
u_593,1.5,10
u_608,4.5,10
u_610,3.5,10
u_24,3.5,10
u_62,4.0,10
u_68,4.5,10
u_103,2.5,10
u_114,2.5,10
u_148,3.5,10
u_209,3.5,10
u_252,4.0,10
u_258,0.5,10
u_279,3.5,10
u_319,3.5,10
u_328,2.5,10
u_400,4.5,10
u_414,3.5,10
u_448,3.5,10
u_475,4.5,10
u_495,4.5,10
u_561,4.0,10
u_582,4.5,10
u_586,5.0,10
u_596,4.5,10
u_599,3.5,10
u_610,4.5,10
u_62,3.5,10
u_98,3.0,10
u_210,4.5,10
u_380,0.5,10
u_414,4.5,10
u_514,2.0,10
u_515,4.0,10
u_7,1.0,10
u_75,0.5,10
u_76,4.5,10
u_103,2.0,10
u_139,2.5,10
u_141,2.0,10
u_166,4.0,10
u_167,2.0,10
u_182,2.0,10
u_187,2.5,10
u_199,2.5,10
u_219,3.5,10
u_226,4.0,10
u_249,4.0,10
u_254,3.5,10
u_263,3.5,10
u_264,4.0,10
u_279,3.0,10
u_305,3.5,10
u_328,1.5,10
u_474,4.5,10
u_478,4.0,10
u_480,4.0,10
u_509,3.0,10
u_561,3.5,10
u_573,4.5,10
u_580,5.0,10
u_590,3.5,10
u_593,3.0,10
u_596,3.0,10
u_605,2.0,10
u_606,4.0,10
u_610,4.0,10
u_1,5.0,11
u_1,4.0,11
u_4,5.0,11
u_4,1.0,11
u_7,5.0,11
u_7,4.0,11
u_7,1.5,11
u_11,4.0,11
u_15,5.0,11
u_16,3.0,11
u_17,5.0,11
u_18,4.0,11
u_18,4.5,11
u_19,4.0,11
u_19,3.0,11
u_21,4.5,11
u_21,4.0,11
u_21,1.0,11
u_25,5.0,11
u_27,4.0,11
u_27,5.0,11
u_28,4.0,11
u_30,5.0,11
u_31,4.0,11
u_32,5.0,11
u_32,4.0,11
u_33,5.0,11
u_34,3.5,11
u_39,5.0,11
u_42,5.0,11
u_42,3.0,11
u_44,5.0,11
u_45,5.0,11
u_45,4.0,11
u_51,5.0,11
u_52,4.0,11
u_52,5.0,11
u_57,5.0,11
u_57,4.0,11
u_57,3.0,11
u_59,4.0,11
u_59,3.0,11
u_62,4.5,11
u_63,5.0,11
u_63,4.5,11
u_64,3.5,11
u_66,2.5,11
u_66,4.0,11
u_66,3.0,11
u_68,5.0,11
u_68,3.0,11
u_69,5.0,11
u_69,4.0,11
u_70,5.0,11
u_71,3.0,11
u_72,5.0,11
u_72,4.5,11
u_73,2.0,11
u_75,5.0,11
u_75,4.5,11
u_75,1.0,11
u_76,4.0,11
u_76,2.0,11
u_77,5.0,11
u_78,3.5,11
u_79,5.0,11
u_82,3.5,11
u_82,4.0,11
u_84,4.0,11
u_86,4.5,11
u_86,4.0,11
u_86,3.5,11
u_90,5.0,11
u_91,4.5,11
u_91,4.0,11
u_93,5.0,11
u_95,5.0,11
u_95,4.5,11
u_96,5.0,11
u_96,2.0,11
u_97,5.0,11
u_101,4.0,11
u_103,4.0,11
u_103,4.5,11
u_103,3.5,11
u_104,3.0,11
u_105,4.0,11
u_112,5.0,11
u_113,4.0,11
u_114,3.5,11
u_115,5.0,11
u_118,4.0,11
u_120,5.0,11
u_122,5.0,11
u_123,4.5,11
u_123,4.0,11
u_124,4.0,11
u_124,4.5,11
u_125,4.0,11
u_128,5.0,11
u_128,4.0,11
u_129,4.0,11
u_129,3.5,11
u_131,2.5,11
u_132,2.0,11
u_135,4.0,11
u_135,2.0,11
u_137,4.0,11
u_137,3.0,11
u_139,4.0,11
u_140,4.0,11
u_140,3.0,11
u_140,3.5,11
u_141,4.0,11
u_141,3.0,11
u_141,4.5,11
u_149,4.0,11
u_149,2.0,11
u_152,3.0,11
u_153,0.5,11
u_155,4.0,11
u_155,5.0,11
u_156,1.0,11
u_160,5.0,11
u_160,4.0,11
u_160,2.0,11
u_164,4.0,11
u_165,4.0,11
u_165,3.0,11
u_166,4.5,11
u_166,5.0,11
u_166,3.5,11
u_167,4.0,11
u_167,4.5,11
u_169,4.0,11
u_171,4.0,11
u_171,5.0,11
u_172,4.5,11
u_177,2.5,11
u_177,3.0,11
u_177,2.0,11
u_180,4.5,11
u_180,4.0,11
u_182,3.5,11
u_182,3.0,11
u_182,2.5,11
u_182,1.5,11
u_183,4.0,11
u_186,4.0,11
u_186,5.0,11
u_187,4.0,11
u_187,1.5,11
u_193,5.0,11
u_193,4.5,11
u_195,4.0,11
u_197,5.0,11
u_198,5.0,11
u_198,2.0,11
u_199,4.0,11
u_199,3.5,11
u_199,2.0,11
u_200,5.0,11
u_200,3.0,11
u_201,5.0,11
u_201,3.0,11
u_202,4.0,11
u_202,5.0,11
u_202,3.0,11
u_205,4.5,11
u_208,4.0,11
u_209,2.0,11
u_210,5.0,11
u_211,4.5,11
u_211,4.0,11
u_212,2.5,11
u_212,3.5,11
u_215,4.5,11
u_217,5.0,11
u_217,4.0,11
u_219,5.0,11
u_219,4.5,11
u_219,4.0,11
u_219,1.0,11
u_220,5.0,11
u_220,4.5,11
u_220,3.5,11
u_220,3.0,11
u_223,3.5,11
u_223,3.0,11
u_224,2.0,11
u_225,4.0,11
u_225,3.0,11
u_226,4.5,11
u_226,5.0,11
u_226,2.5,11
u_227,3.5,11
u_227,4.0,11
u_228,4.5,11
u_228,4.0,11
u_231,4.0,11
u_231,3.5,11
u_232,4.5,11
u_232,5.0,11
u_232,4.0,11
u_234,5.0,11
u_234,3.0,11
u_237,2.5,11
u_239,5.0,11
u_239,3.5,11
u_244,4.0,11
u_246,5.0,11
u_247,4.0,11
u_247,4.5,11
u_247,3.5,11
u_248,3.5,11
u_249,5.0,11
u_249,4.5,11
u_249,3.5,11
u_254,4.0,11
u_255,5.0,11
u_256,4.0,11
u_261,4.5,11
u_262,4.0,11
u_263,4.0,11
u_263,3.0,11
u_264,3.5,11
u_265,5.0,11
u_265,4.0,11
u_266,4.0,11
u_266,5.0,11
u_266,3.0,11
u_267,5.0,11
u_268,4.0,11
u_268,5.0,11
u_268,1.0,11
u_268,2.0,11
u_274,3.0,11
u_274,4.5,11
u_274,4.0,11
u_274,2.5,11
u_275,4.0,11
u_276,5.0,11
u_277,4.0,11
u_279,5.0,11
u_279,4.5,11
u_282,4.0,11
u_283,4.0,11
u_288,5.0,11
u_288,4.5,11
u_288,4.0,11
u_290,5.0,11
u_292,4.0,11
u_294,5.0,11
u_294,4.0,11
u_296,1.0,11
u_298,4.0,11
u_298,4.5,11
u_298,3.0,11
u_298,2.5,11
u_299,2.0,11
u_302,5.0,11
u_303,3.5,11
u_303,5.0,11
u_304,5.0,11
u_305,5.0,11
u_305,2.0,11
u_307,3.5,11
u_307,3.0,11
u_307,4.0,11
u_308,2.5,11
u_312,5.0,11
u_312,3.0,11
u_313,3.0,11
u_313,4.0,11
u_313,2.0,11
u_314,5.0,11
u_317,4.0,11
u_318,3.0,11
u_318,4.0,11
u_323,4.5,11
u_325,4.0,11
u_325,2.0,11
u_328,5.0,11
u_328,4.0,11
u_330,4.0,11
u_330,5.0,11
u_330,3.0,11
u_332,4.5,11
u_332,3.5,11
u_334,4.0,11
u_334,3.5,11
u_334,3.0,11
u_335,5.0,11
u_337,5.0,11
u_343,3.0,11
u_344,5.0,11
u_348,4.5,11
u_348,5.0,11
u_350,4.0,11
u_352,4.0,11
u_352,3.5,11
u_354,4.0,11
u_354,3.5,11
u_355,5.0,11
u_357,4.0,11
u_357,4.5,11
u_357,3.0,11
u_361,2.0,11
u_362,4.5,11
u_362,4.0,11
u_363,2.0,11
u_363,1.5,11
u_364,4.0,11
u_364,3.0,11
u_365,3.0,11
u_365,4.0,11
u_367,5.0,11
u_367,4.0,11
u_368,4.0,11
u_368,3.0,11
u_369,3.5,11
u_369,4.0,11
u_369,2.5,11
u_370,2.0,11
u_370,2.5,11
u_370,1.5,11
u_372,4.0,11
u_372,5.0,11
u_375,5.0,11
u_375,1.5,11
u_376,4.0,11
u_376,4.5,11
u_380,5.0,11
u_380,4.0,11
u_380,2.5,11
u_381,3.5,11
u_382,5.0,11
u_382,4.5,11
u_382,3.5,11
u_383,3.0,11
u_385,4.0,11
u_385,5.0,11
u_387,4.5,11
u_387,4.0,11
u_389,5.0,11
u_391,5.0,11
u_391,4.0,11
u_391,1.0,11
u_392,2.0,11
u_399,5.0,11
u_400,5.0,11
u_407,4.0,11
u_408,4.0,11
u_409,4.0,11
u_410,3.0,11
u_412,4.0,11
u_414,5.0,11
u_414,4.0,11
u_414,2.0,11
u_415,4.0,11
u_416,3.0,11
u_416,2.0,11
u_422,5.0,11
u_422,4.0,11
u_425,3.0,11
